Image_calc,Latitude_calc,Longitude_calc,Altitude_calc,common_name,Image_exif,Latitude_exif,Longitude_exif,Altitude_exif,error_lat,error_lon,error_alt,mean_lat,error_lat_m,error_lon_m,error_horizontal_m
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0405.JPG,37.42211675087868,-122.0834941432272,357.80231658359537,0405.JPG,DJI_0405.JPG,34.10512,-117.71334,319.308,3.3169967508786797,-4.370154143227197,38.49431658359538,35.763618375439336,369248.0783078146,-394751.45420083735,540530.1600537103
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0406.JPG,37.42175577364818,-122.08414037507504,350.2580148604862,0406.JPG,DJI_0406.JPG,34.10512,-117.71334,319.508,3.31663577364818,-4.370800375075035,30.750014860486203,35.76343788682409,369207.8943225154,-394810.7234297169,540545.9985654894
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0407.JPG,37.42177127462335,-122.08436116057035,356.2418495145081,0407.JPG,DJI_0407.JPG,34.10514,-117.71337,319.408,3.3166312746233544,-4.370991160570355,36.833849514508074,35.76345563731168,369207.3934910718,-394827.8688221269,540558.1794840345
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0408.JPG,37.42195170550525,-122.08413500761614,346.3642598681558,0408.JPG,DJI_0408.JPG,34.10514,-117.71338,319.508,3.316811705505252,-4.37075500761614,26.856259868155803,35.76354585275263,369227.47905684466,-394806.08958638314,540555.991239727
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0409.JPG,37.42234007116629,-122.08413130804558,354.12906668526847,0409.JPG,DJI_0409.JPG,34.10516,-117.71337,320.008,3.317180071166291,-4.370761308045587,34.12106668526849,35.76375003558314,369268.48552223155,-394805.6453258452,540583.6771315238
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0445.JPG,37.4220044665204,-122.08407121291316,323.1002619818659,0445.JPG,DJI_0445.JPG,34.10517,-117.71344,314.397,3.3168344665203975,-4.370631212913153,8.703261981865921,35.763587233260196,369230.01281305065,-394794.70196256123,540549.4048277485
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0446.JPG,37.42198483185197,-122.083511527945,367.0302529726435,0446.JPG,DJI_0446.JPG,34.10517,-117.71344,315.797,3.3168148318519712,-4.370071527945001,51.23325297264347,35.76357741592599,369227.82708176144,-394744.19490110036,540511.0245865823
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0447.JPG,37.42235581488259,-122.08427848269316,347.39833362922906,0447.JPG,DJI_0447.JPG,34.10517,-117.71344,317.497,3.317185814882592,-4.370838482693159,29.901333629229043,35.7637629074413,369269.1249127301,-394812.55253438716,540589.158467437
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0448.JPG,37.42178912219019,-122.08410608592256,348.5117641297437,0448.JPG,DJI_0448.JPG,34.10517,-117.71344,319.397,3.3166191221901897,-4.370666085922551,29.11476412974372,35.763479561095096,369206.0406822119,-394798.3863768873,540535.721633667
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0449.JPG,37.42189425912539,-122.08389760909056,346.2422375420481,0449.JPG,DJI_0449.JPG,34.10517,-117.71344,321.397,3.3167242591253867,-4.3704576090905505,24.845237542048096,35.76353212956269,369217.74452583806,-394779.2939681887,540529.7714453557
